student_id,attendance_risk_component,assessment_performance_risk,trend_risk,gpa_risk,study_behavior_risk,recent_performance_risk,risk_score,risk_level
STU102746,40.75,38.74,37.55,35.75,60.05,38.18,40.53,MODERATE
STU102747,30.14,34.28,57.12,35.5,62.4,29.77,40.56,MODERATE
STU102748,51.65,59.58,47.08,71.25,100.0,50.02,60.33,HIGH
STU102749,35.4,38.96,54.56,42.75,60.38,36.55,43.84,MODERATE
STU102750,12.59,28.6,64.69,40.25,51.5,42.19,38.01,MODERATE
STU102751,18.42,37.63,48.21,37.75,78.57,24.48,38.7,MODERATE
STU102752,37.3,35.77,58.39,33.25,95.5,28.87,45.5,MODERATE
STU102753,28.64,31.76,55.99,52.25,72.55,39.91,43.95,MODERATE
STU102754,27.26,25.53,37.54,20.0,64.75,16.11,30.43,MODERATE
STU102755,14.55,24.81,60.55,43.0,82.12,28.33,38.72,MODERATE
STU102756,21.72,30.51,59.12,25.0,71.0,28.87,37.53,MODERATE
STU102757,8.37,22.92,55.6,22.25,85.88,24.94,32.94,MODERATE
STU102758,16.7,40.04,50.77,36.5,56.35,34.44,38.06,MODERATE
STU102759,10.21,14.1,40.34,21.75,31.6,15.27,21.58,LOW
STU102760,40.49,30.68,53.4,52.0,59.73,24.23,42.64,MODERATE
STU102761,0.0,19.17,44.12,19.75,29.18,26.54,22.15,LOW
STU102762,3.89,14.84,33.59,23.5,51.4,0.0,19.87,LOW
STU102763,28.5,26.43,28.48,43.5,55.05,11.48,31.18,MODERATE
STU102764,15.55,31.98,33.09,39.5,75.6,35.13,34.72,MODERATE
STU102765,21.99,24.21,57.1,47.25,75.98,25.31,39.09,MODERATE
STU102766,12.21,20.9,53.97,29.75,55.35,21.16,30.57,MODERATE
STU102767,13.41,13.28,45.3,12.75,40.95,8.16,21.89,LOW
STU102768,38.22,38.15,49.0,37.0,92.75,41.54,45.96,MODERATE
STU102769,18.94,24.73,38.36,31.75,69.03,21.15,31.42,MODERATE
STU102770,53.41,47.95,47.84,41.5,99.45,40.13,52.42,MODERATE
STU102771,22.18,36.44,52.08,44.75,60.0,48.16,41.49,MODERATE
STU102772,9.66,18.16,36.68,20.0,42.5,15.56,22.61,LOW
STU102773,34.4,44.56,68.81,68.0,50.8,41.14,51.18,MODERATE
STU102774,43.63,41.21,58.54,61.0,88.2,48.32,53.54,MODERATE
STU102775,33.11,31.29,71.11,19.0,49.8,42.11,40.71,MODERATE
STU102776,0.38,11.67,58.74,23.25,59.8,14.41,25.65,LOW
STU102777,12.99,27.7,63.34,46.75,50.28,30.42,37.27,MODERATE
STU102778,26.83,54.54,51.05,53.75,96.85,52.15,52.17,MODERATE
STU102779,42.06,45.43,57.08,55.25,87.85,46.3,52.89,MODERATE
STU102780,19.36,26.19,59.63,29.0,39.95,43.02,34.99,MODERATE
STU102781,32.32,49.5,44.09,54.75,62.4,43.64,46.47,MODERATE
STU102782,12.2,27.57,42.81,44.5,76.8,33.69,35.62,MODERATE
STU102783,11.99,36.96,62.74,36.75,73.95,38.51,40.94,MODERATE
STU102784,25.33,37.1,56.84,38.75,67.68,29.42,41.23,MODERATE
STU102785,0.49,16.67,58.49,15.5,33.8,21.91,23.86,LOW
STU102786,8.17,17.27,50.46,26.75,52.68,17.88,27.11,LOW
STU102787,8.06,18.94,53.1,27.0,60.4,8.75,27.93,LOW
STU102788,21.27,25.83,52.5,22.25,23.35,20.5,28.93,LOW
STU102789,35.81,23.5,36.97,39.5,46.45,20.68,33.07,MODERATE
STU102790,26.68,29.67,33.15,46.0,63.8,10.12,33.68,MODERATE
STU102791,24.61,26.26,44.18,40.0,85.98,26.99,37.62,MODERATE
STU102792,0.0,12.52,65.55,32.25,62.4,24.45,29.76,LOW
STU102793,30.76,32.04,40.82,40.25,58.05,24.93,36.66,MODERATE
STU102794,0.93,7.18,67.96,8.25,35.35,28.73,23.22,LOW
STU102795,34.19,32.19,43.6,42.5,58.7,15.49,37.4,MODERATE
STU102796,14.48,29.3,60.21,49.25,65.45,25.87,38.78,MODERATE
STU102797,22.51,31.12,45.32,48.75,77.95,28.83,39.34,MODERATE
STU102798,32.52,40.79,59.04,48.75,67.3,47.71,47.32,MODERATE
STU102799,4.02,5.1,37.25,17.25,62.4,0.0,18.36,LOW
STU102800,30.49,32.28,45.56,47.75,82.95,32.52,41.99,MODERATE
STU102801,32.4,29.4,72.99,33.25,60.28,33.36,42.78,MODERATE
STU102802,31.82,41.38,55.86,39.75,69.45,41.41,44.93,MODERATE
STU102803,20.38,36.48,45.21,40.75,79.15,36.64,39.93,MODERATE
STU102804,27.23,29.84,47.11,33.5,69.12,36.75,37.94,MODERATE
STU102805,23.8,44.69,73.99,48.5,96.02,55.04,53.11,MODERATE
STU102806,17.82,29.95,37.91,43.0,74.98,31.45,35.73,MODERATE
STU102807,16.52,30.04,36.89,19.75,60.82,8.54,28.09,LOW
STU102808,17.39,14.62,36.17,30.5,34.7,14.93,23.9,LOW
STU102809,21.95,29.46,58.19,36.75,64.1,36.15,38.93,MODERATE
STU102810,22.36,30.57,42.12,46.0,64.65,28.87,36.79,MODERATE
STU102811,26.83,41.05,56.51,50.75,72.82,56.61,47.49,MODERATE
STU102812,31.21,39.44,51.99,55.75,91.55,18.99,45.92,MODERATE
STU102813,41.43,48.48,41.04,57.5,77.53,43.57,49.35,MODERATE
STU102814,40.4,40.03,51.62,56.25,79.82,28.87,47.72,MODERATE
STU102815,33.24,29.92,56.72,49.0,70.15,36.72,43.51,MODERATE
STU102816,13.25,20.92,42.94,28.5,40.28,14.47,26.22,LOW
STU102817,26.34,25.3,30.72,45.5,59.6,12.3,31.75,MODERATE
STU102818,26.71,36.92,44.52,26.25,40.22,51.62,36.6,MODERATE
STU102819,25.81,33.24,43.39,52.0,82.1,30.51,41.21,MODERATE
STU102820,10.24,15.96,45.74,32.75,40.9,13.69,25.56,LOW
STU102821,30.26,42.46,63.08,56.5,72.1,41.85,49.15,MODERATE
STU102822,24.42,20.33,63.08,34.75,62.35,28.87,36.92,MODERATE
STU102823,31.53,28.7,49.85,33.75,71.43,21.26,37.78,MODERATE
STU102824,28.3,26.53,40.9,31.25,55.25,28.67,33.55,MODERATE
STU102825,24.48,25.56,76.56,26.25,53.8,28.87,38.8,MODERATE
STU102826,31.62,32.58,52.21,37.75,74.8,28.87,40.94,MODERATE
STU102827,26.03,21.42,41.08,31.0,73.08,22.62,33.0,MODERATE
STU102828,18.32,26.53,32.06,23.5,69.08,23.8,29.52,LOW
STU102829,0.0,7.64,42.48,40.0,44.75,6.05,21.49,LOW
STU102830,17.0,25.41,53.65,36.5,54.3,35.43,34.93,MODERATE
STU102831,46.31,48.31,54.45,55.0,99.6,49.31,55.37,MODERATE
STU102832,21.65,15.28,37.38,13.25,55.15,13.48,24.48,LOW
STU102833,15.76,17.39,49.58,47.25,77.95,9.96,33.29,MODERATE
STU102834,34.47,30.2,24.65,40.75,81.4,13.81,35.01,MODERATE
STU102835,25.81,30.02,37.4,52.5,76.0,17.28,37.35,MODERATE
STU102836,53.77,54.45,50.26,79.75,97.35,48.99,61.02,HIGH
STU102837,63.61,49.03,27.65,63.75,100.0,28.87,52.96,MODERATE
STU102838,0.0,6.28,56.11,9.5,36.0,8.77,18.69,LOW
STU102839,39.07,37.76,50.91,34.25,92.55,41.92,46.02,MODERATE
STU102840,13.26,23.78,68.45,30.0,50.7,20.26,33.88,MODERATE
STU102841,42.27,48.49,62.64,51.75,89.1,47.31,54.51,MODERATE
STU102842,38.33,39.63,52.4,52.25,96.3,31.57,48.68,MODERATE
STU102843,10.14,24.16,55.58,24.25,49.47,14.81,29.25,LOW
STU102844,29.16,33.51,58.13,28.75,91.15,31.23,42.39,MODERATE
STU102845,12.49,21.99,49.24,32.5,63.0,25.55,31.57,MODERATE
STU102846,19.62,21.51,75.65,28.25,52.85,35.17,37.47,MODERATE
STU102847,35.51,27.65,54.59,50.75,93.42,34.4,45.33,MODERATE
STU102848,28.27,35.4,45.82,40.25,64.32,36.84,39.82,MODERATE
STU102849,44.76,39.58,44.65,43.5,94.98,38.48,47.65,MODERATE
STU102850,14.49,8.45,63.64,11.75,48.85,13.77,25.76,LOW
STU102851,0.87,13.15,42.15,28.25,21.4,20.02,20.27,LOW
STU102852,37.73,44.55,56.28,52.25,85.92,44.12,50.78,MODERATE
STU102853,32.27,41.48,37.54,48.75,58.9,41.13,41.65,MODERATE
STU102854,23.12,36.36,27.69,38.0,71.52,27.99,34.9,MODERATE
STU102855,29.34,26.43,47.79,32.25,58.45,30.14,35.73,MODERATE
STU102856,18.26,35.96,57.2,27.25,54.7,43.9,38.03,MODERATE
STU102857,13.73,20.68,80.75,42.5,48.2,33.83,38.64,MODERATE
STU102858,27.28,33.2,40.58,40.25,61.33,26.68,36.71,MODERATE
STU102859,24.46,33.22,59.76,53.75,70.0,26.05,42.82,MODERATE
STU102860,0.0,5.65,48.08,2.0,45.7,9.76,16.87,LOW
STU102861,30.86,42.11,52.71,39.25,89.15,43.45,46.39,MODERATE
STU102862,0.0,18.13,54.91,0.0,21.48,24.69,20.13,LOW
STU102863,0.0,23.66,63.46,10.5,19.55,26.17,24.75,LOW
STU102864,15.02,17.64,84.9,28.25,53.32,27.29,36.69,MODERATE
STU102865,46.94,43.01,57.51,59.25,100.0,62.98,56.83,MODERATE
STU102866,23.1,29.83,56.76,37.0,71.7,27.31,38.88,MODERATE
STU102867,32.98,29.79,47.59,42.75,80.5,29.8,41.0,MODERATE
STU102868,20.76,34.33,71.01,34.75,69.15,41.11,43.18,MODERATE
STU102869,29.26,50.66,57.7,68.0,89.5,49.21,54.13,MODERATE
STU102870,23.72,26.26,40.72,26.25,44.65,22.18,30.07,MODERATE
STU102871,21.65,24.5,45.3,24.25,62.4,26.12,32.0,MODERATE
STU102872,0.49,13.98,63.09,7.5,25.2,15.06,21.36,LOW
STU102873,22.01,33.65,41.69,43.5,73.1,24.04,37.39,MODERATE
STU102874,35.75,43.93,58.1,57.5,75.9,41.7,50.14,MODERATE
STU102875,13.53,23.44,61.36,30.75,47.95,40.61,34.31,MODERATE
STU102876,0.0,8.66,40.1,15.0,23.4,9.4,15.72,LOW
STU102877,21.63,32.68,33.52,37.75,76.9,31.45,35.7,MODERATE
STU102878,16.38,22.74,67.58,43.0,50.65,19.54,35.95,MODERATE
STU102879,7.76,23.19,42.5,41.75,64.2,10.26,29.56,LOW
STU102880,21.65,42.72,51.42,48.75,66.27,42.74,43.51,MODERATE
STU102881,22.16,33.88,38.7,31.25,51.88,28.94,33.41,MODERATE
STU102882,16.29,24.05,56.35,32.5,42.68,27.27,32.41,MODERATE
STU102883,13.94,25.88,39.14,38.25,67.58,17.12,31.29,MODERATE
STU102884,21.15,18.98,40.43,33.0,66.75,5.58,29.24,LOW
STU102885,26.66,30.04,45.91,28.5,67.55,29.41,36.0,MODERATE
STU102886,13.4,29.25,58.42,33.0,57.75,31.12,35.51,MODERATE
STU102887,32.72,45.45,58.16,25.25,71.62,44.86,44.97,MODERATE
STU102888,42.92,39.04,63.19,46.75,81.9,42.48,50.43,MODERATE
STU102889,23.22,39.07,34.75,49.0,50.55,31.59,36.93,MODERATE
STU102890,23.43,29.91,44.92,45.0,62.83,27.68,36.95,MODERATE
STU102891,28.77,30.22,53.99,52.25,71.55,34.09,42.51,MODERATE
STU102892,15.18,32.93,53.89,41.75,75.52,38.1,39.67,MODERATE
STU102893,25.2,28.17,45.36,21.5,26.12,33.5,30.34,MODERATE
STU102894,16.65,14.25,47.24,32.25,45.28,17.92,27.5,LOW
STU102895,8.95,18.31,52.25,22.75,62.4,21.3,28.6,LOW
STU102896,27.17,45.89,49.6,44.0,90.0,47.76,47.2,MODERATE
STU102897,17.01,43.58,36.61,37.0,69.55,32.69,37.39,MODERATE
STU102898,25.44,26.77,64.2,35.25,73.88,26.11,39.91,MODERATE
STU102899,20.67,32.12,63.27,51.25,38.55,31.31,39.49,MODERATE
STU102900,44.41,32.37,52.79,43.75,52.08,22.44,41.55,MODERATE
STU102901,21.4,31.92,36.39,52.25,60.18,24.75,35.87,MODERATE
STU102902,22.06,26.87,72.47,38.75,76.12,19.83,41.03,MODERATE
STU102903,13.94,11.25,44.32,40.5,31.43,9.84,24.67,LOW
STU102904,47.93,42.91,67.03,36.0,56.97,44.43,49.26,MODERATE
STU102905,0.0,5.27,63.19,22.5,32.1,0.0,20.54,LOW
STU102906,9.58,29.32,62.14,27.25,60.18,31.37,34.92,MODERATE
STU102907,7.04,21.77,56.53,16.75,35.15,7.2,24.9,LOW
STU102908,21.02,32.97,53.54,42.0,95.85,37.14,42.75,MODERATE
STU102909,14.7,20.68,56.68,29.75,39.55,22.84,30.15,MODERATE
STU102910,14.23,39.63,54.8,20.0,48.2,36.84,35.22,MODERATE
STU102911,22.18,29.9,58.19,5.25,56.68,29.52,32.96,MODERATE
STU102912,42.57,33.0,45.1,41.75,62.4,27.78,41.06,MODERATE
STU102913,13.54,9.65,46.9,16.75,62.4,4.47,23.7,LOW
STU102914,46.36,50.1,48.84,61.0,99.05,53.78,56.0,MODERATE
STU102915,15.76,18.4,36.24,35.75,68.1,7.53,27.93,LOW
STU102916,16.99,34.04,24.7,32.0,56.08,16.79,28.94,LOW
STU102917,36.28,36.71,51.3,48.0,61.3,35.77,43.6,MODERATE
STU102918,0.0,2.04,45.51,27.25,35.95,0.48,17.34,LOW
STU102919,9.29,12.52,48.14,10.5,19.95,14.8,19.67,LOW
STU102920,57.06,58.02,49.32,61.0,85.3,63.1,59.77,LOW
STU102921,19.55,41.04,57.52,40.5,77.03,32.0,42.65,MODERATE
STU102922,17.87,22.41,42.75,34.5,58.85,11.16,29.9,LOW
STU102923,16.66,19.88,31.72,28.25,42.37,13.01,24.42,LOW
STU102924,0.0,15.68,64.79,4.5,46.8,24.11,24.64,LOW
STU102925,0.0,20.23,71.74,17.75,32.65,26.23,27.96,LOW
STU102926,18.98,24.9,63.77,27.25,63.65,34.34,36.66,MODERATE
STU102927,0.0,15.85,52.31,16.25,19.32,23.11,21.1,LOW
STU102928,7.51,16.62,59.42,29.5,43.08,24.82,28.76,LOW
STU102929,20.7,29.27,63.16,36.5,70.88,28.22,39.47,MODERATE
STU102930,20.2,46.38,65.41,56.25,62.13,61.55,49.52,MODERATE
STU102931,1.32,22.4,54.85,20.25,70.85,17.05,28.66,LOW
STU102932,37.93,34.01,58.92,43.0,87.98,24.55,45.58,MODERATE
STU102933,18.25,35.56,51.01,43.0,74.45,24.93,39.13,MODERATE
STU102934,27.87,40.21,33.98,37.75,51.42,27.82,36.01,MODERATE
STU102935,15.32,23.93,54.64,32.5,75.25,24.47,34.82,MODERATE
STU102936,23.26,25.6,59.7,37.0,65.82,20.77,37.2,MODERATE
STU102937,28.65,44.76,50.95,64.25,78.28,37.82,48.36,MODERATE
STU102938,4.91,9.74,50.03,23.75,41.97,19.5,23.13,LOW
STU102939,37.94,33.4,34.92,31.25,69.8,24.87,37.08,MODERATE
STU102940,0.0,18.73,69.1,3.25,39.95,28.87,25.87,LOW
STU102941,11.67,25.84,40.88,36.75,61.02,18.68,30.45,MODERATE
STU102942,11.2,15.62,41.69,24.75,31.3,11.05,22.43,LOW
STU102943,23.53,11.62,47.09,33.5,61.65,20.9,30.31,MODERATE
STU102944,0.0,10.75,57.35,25.0,69.77,14.78,26.36,LOW
STU102945,23.31,16.84,23.02,27.75,48.12,8.08,23.26,LOW
STU102946,12.77,26.47,45.8,25.25,40.28,16.64,27.81,LOW
STU102947,0.33,21.8,35.24,4.0,59.25,5.42,19.63,LOW
STU102948,0.0,9.31,66.25,13.75,8.2,0.0,18.46,LOW
STU102949,31.15,25.71,45.7,35.25,60.05,21.46,35.24,MODERATE
STU102950,16.22,22.0,55.64,22.75,65.03,16.95,31.48,MODERATE
STU102951,29.97,38.77,39.56,40.5,71.38,30.49,39.86,MODERATE
STU102952,14.09,21.24,43.7,40.25,64.25,16.75,31.01,MODERATE
STU102953,18.52,31.13,54.18,34.5,59.75,30.9,36.56,MODERATE
STU102954,42.07,50.42,45.56,46.0,97.12,40.44,50.79,MODERATE
STU102955,31.07,34.01,76.12,37.75,51.68,41.92,44.96,MODERATE
STU102956,3.29,26.66,63.67,32.0,36.9,20.81,30.63,MODERATE
STU102957,39.08,36.72,48.1,48.5,93.3,43.16,47.54,MODERATE
STU102958,4.23,13.94,26.61,36.0,66.42,0.0,21.69,LOW
STU102959,31.69,27.81,62.19,35.0,52.08,33.05,39.49,MODERATE
STU102960,11.76,30.46,54.46,34.0,71.82,31.3,36.27,MODERATE
STU102961,15.3,27.82,66.29,32.25,51.1,38.3,37.05,MODERATE
STU102962,9.03,23.61,31.75,57.5,45.45,6.45,27.87,LOW
STU102963,11.53,24.22,32.29,29.75,45.45,31.8,27.01,LOW
STU102964,21.65,14.17,23.45,29.25,62.68,5.24,23.74,LOW
STU102965,12.88,27.26,60.81,41.5,87.22,36.36,40.14,MODERATE
STU102966,46.14,49.16,84.45,64.75,88.58,54.64,62.44,HIGH
STU102967,28.99,28.38,50.25,38.75,78.85,25.45,39.19,MODERATE
STU102968,49.01,54.94,60.44,63.5,88.75,61.43,60.17,HIGH
STU102969,1.2,30.36,31.75,21.25,53.75,18.19,24.56,LOW
STU102970,20.61,24.29,49.4,18.0,61.25,26.82,31.58,MODERATE
STU102971,7.26,11.92,21.41,28.0,22.3,0.0,15.14,LOW
STU102972,21.12,12.9,58.18,36.0,54.95,7.75,30.76,MODERATE
STU102973,1.66,17.28,28.85,24.25,55.15,7.55,20.33,LOW
STU102974,22.35,38.28,42.64,58.5,84.88,23.88,42.22,MODERATE
STU102975,28.33,36.74,39.4,54.25,57.5,35.64,40.18,MODERATE
STU102976,37.86,41.4,45.41,38.5,91.62,36.45,45.59,MODERATE
STU102977,29.38,41.5,47.91,35.75,38.88,40.95,39.18,MODERATE
STU102978,0.0,11.73,58.69,21.25,57.3,4.58,24.05,LOW
STU102979,10.87,9.02,49.41,40.5,64.28,14.8,28.29,LOW
STU102980,6.81,28.86,68.36,30.75,72.55,33.28,37.44,MODERATE
STU102981,27.36,24.34,67.49,45.0,65.18,31.35,41.46,MODERATE
STU102982,15.97,32.02,49.56,50.5,71.5,37.98,39.63,MODERATE
STU102983,37.29,24.35,55.55,54.0,63.82,26.67,41.8,MODERATE
STU102984,5.66,12.85,34.88,27.75,39.97,1.34,19.61,LOW
STU102985,17.17,26.05,53.85,36.0,50.65,34.31,34.61,MODERATE
STU102986,41.4,46.76,46.98,59.0,90.8,51.34,52.43,MODERATE
STU102987,18.46,30.62,62.9,38.25,55.6,54.54,40.68,MODERATE
STU102988,44.49,53.28,57.15,61.0,93.65,42.54,56.42,MODERATE
STU102989,10.6,18.7,31.22,14.25,55.55,13.38,22.07,LOW
STU102990,27.05,33.5,52.81,50.75,79.12,28.16,42.69,MODERATE
STU102991,22.69,47.17,52.11,60.75,77.92,41.68,47.82,MODERATE
STU102992,34.31,23.37,66.96,42.5,35.0,27.43,38.71,MODERATE
STU102993,0.51,27.41,51.97,35.0,69.18,33.93,32.91,MODERATE
STU102994,0.0,30.43,43.75,46.75,65.03,21.34,32.01,MODERATE
STU102995,9.71,4.66,61.66,1.75,27.6,14.11,19.87,LOW
STU102996,14.0,29.54,53.0,30.5,31.02,37.4,32.2,MODERATE
STU102997,18.77,37.37,35.17,37.25,66.78,26.1,35.01,MODERATE
STU102998,8.42,24.77,43.79,18.25,64.88,26.94,28.55,LOW
STU102999,21.65,35.91,27.65,48.75,78.35,30.31,37.02,MODERATE
STU103000,3.82,19.16,66.1,24.75,31.17,46.41,30.24,MODERATE
STU103001,34.89,17.36,57.01,22.25,62.2,26.73,34.95,MODERATE
STU103002,7.0,27.86,51.76,31.0,72.2,27.2,33.31,MODERATE
STU103003,34.22,49.66,30.5,51.0,71.47,26.9,42.85,MODERATE
STU103004,9.53,35.94,38.1,27.75,57.72,30.43,31.49,MODERATE
STU103005,34.95,37.38,75.22,30.25,78.28,57.1,49.45,MODERATE
STU103006,44.02,41.66,70.58,46.75,94.62,41.89,54.0,MODERATE
STU103007,24.53,26.97,68.61,28.0,92.92,31.38,42.0,MODERATE
STU103008,6.11,17.92,45.6,32.75,63.75,12.61,27.37,LOW
STU103009,9.16,26.86,44.19,33.0,58.75,29.3,31.14,MODERATE
STU103010,44.75,53.32,38.81,56.75,71.68,47.46,50.47,MODERATE
STU103011,28.53,28.11,51.85,32.0,61.27,33.17,37.35,MODERATE
STU103012,4.64,23.73,46.41,49.5,85.82,7.1,32.86,MODERATE
STU103013,24.1,27.79,75.41,49.75,63.15,22.38,42.86,MODERATE
STU103014,15.57,34.79,56.8,30.75,43.35,30.66,35.18,MODERATE
STU103015,30.55,31.89,41.39,51.5,75.08,23.83,39.98,MODERATE
STU103016,23.61,37.53,80.89,53.0,59.65,44.25,48.62,MODERATE
STU103017,28.12,28.38,79.08,25.5,62.4,35.45,42.15,MODERATE
STU103018,17.15,26.41,58.75,17.0,38.55,24.34,30.62,MODERATE
STU103019,21.62,31.95,62.15,37.0,52.92,42.93,39.88,MODERATE
STU103020,9.28,9.25,48.45,46.25,31.7,5.07,24.47,LOW
STU103021,10.83,26.48,59.35,18.75,64.03,25.06,32.38,MODERATE
STU103022,0.0,11.55,43.92,13.0,21.1,12.3,16.96,LOW
STU103023,0.0,17.03,52.09,15.75,64.55,20.5,25.54,LOW
STU103024,7.97,20.18,44.59,13.75,35.15,9.91,22.13,LOW
STU103025,43.75,43.72,26.42,53.5,80.4,22.73,43.3,MODERATE
STU103026,14.15,23.83,62.36,33.0,60.6,25.84,34.85,MODERATE
STU103027,14.19,23.28,49.61,32.0,56.42,21.3,31.15,MODERATE
STU103028,18.29,24.31,57.42,26.0,34.65,26.88,31.27,MODERATE
STU103029,22.73,37.9,56.49,44.25,64.05,39.52,42.31,MODERATE
STU103030,13.47,29.83,59.18,26.25,53.92,40.54,35.37,MODERATE
STU103031,19.67,29.0,37.51,29.75,65.0,14.31,31.08,MODERATE
STU103032,15.25,14.88,46.8,26.75,18.77,16.47,23.67,LOW
STU103033,43.33,44.82,61.98,69.25,88.58,52.46,56.76,MODERATE
STU103034,42.56,36.17,62.64,50.5,74.57,38.85,49.0,MODERATE
STU103035,43.89,50.33,68.56,69.0,92.2,41.42,58.78,MODERATE
STU103036,19.19,30.46,49.22,34.0,29.45,29.78,32.32,MODERATE
STU103037,0.0,8.83,45.54,20.75,39.05,0.0,18.33,LOW
STU103038,27.87,27.74,49.68,27.75,52.77,33.88,35.27,MODERATE
STU103039,27.61,32.19,47.74,43.5,82.22,35.84,41.45,MODERATE
STU103040,16.94,18.68,52.79,16.75,62.4,24.09,29.78,LOW
STU103041,20.54,32.64,56.76,34.25,68.1,31.79,38.75,MODERATE
STU103042,22.24,23.85,34.31,42.25,58.65,16.47,31.12,MODERATE
STU103043,24.79,26.5,53.54,14.25,60.05,17.29,32.16,MODERATE
STU103044,39.3,38.56,59.92,37.0,76.42,42.38,46.91,MODERATE
STU103045,28.4,35.67,70.45,37.25,72.52,45.3,46.06,MODERATE
STU103046,16.72,20.32,39.95,28.75,35.28,15.68,25.82,LOW
STU103047,19.64,19.52,45.18,21.75,61.08,31.55,30.37,MODERATE
STU103048,9.98,13.36,53.25,16.75,33.72,16.73,23.54,LOW
STU103049,8.09,21.81,74.55,41.0,49.0,20.59,35.09,MODERATE
STU103050,20.09,19.24,54.9,35.0,69.0,7.87,32.74,MODERATE
STU103051,22.91,10.99,22.95,27.0,55.82,0.34,21.59,LOW
STU103052,47.21,35.58,39.39,39.75,71.45,31.35,42.46,MODERATE
STU103053,14.94,41.21,74.0,40.25,51.1,54.41,44.68,MODERATE
STU103054,14.38,31.85,52.02,37.5,68.97,41.06,37.87,MODERATE
STU103055,35.02,49.65,37.61,58.25,36.33,43.33,43.64,MODERATE
STU103056,7.82,19.22,37.81,37.75,46.8,28.11,27.08,LOW
STU103057,5.19,17.1,51.59,34.75,42.47,17.09,26.8,LOW
STU103058,31.13,36.59,56.22,41.25,62.1,34.97,42.51,MODERATE
STU103059,26.7,29.11,57.2,37.5,77.45,36.33,41.06,MODERATE
STU103060,14.28,32.48,59.65,47.0,57.3,29.38,38.62,MODERATE
STU103061,37.7,45.52,61.44,48.25,94.28,48.44,52.72,MODERATE
STU103062,0.39,8.86,58.36,11.75,20.8,6.37,18.44,LOW
STU103063,33.73,36.96,46.31,50.0,84.95,21.84,43.43,MODERATE
STU103064,36.91,47.52,45.98,61.5,91.68,51.77,52.03,MODERATE
STU103065,14.83,25.73,56.8,32.5,37.12,25.17,31.86,MODERATE
STU103066,15.1,31.12,51.32,37.0,59.73,28.87,35.47,MODERATE
STU103067,18.61,31.1,58.9,30.0,71.62,32.05,38.14,MODERATE
STU103068,21.65,3.64,50.49,2.25,20.3,7.28,18.43,LOW
STU103069,26.98,31.67,38.75,42.75,89.42,28.87,39.3,MODERATE
STU103070,34.24,29.27,70.38,49.75,54.18,27.32,43.85,MODERATE
STU103071,0.0,8.38,60.26,18.75,38.57,6.35,21.45,LOW
STU103072,10.89,18.34,45.62,11.75,64.32,3.36,24.42,LOW
STU103073,0.0,16.14,43.32,30.25,40.22,13.16,22.57,LOW
STU103074,40.22,34.33,36.39,44.5,64.82,28.87,39.95,MODERATE
STU103075,3.25,18.86,69.4,17.5,72.15,36.44,32.73,MODERATE
STU103076,19.48,24.78,46.01,25.5,51.25,12.23,29.47,LOW
STU103077,24.8,28.5,35.74,38.5,55.92,19.76,32.58,MODERATE
STU103078,21.78,31.37,69.77,51.25,68.28,41.85,44.85,MODERATE
STU103079,22.55,25.38,56.88,36.25,63.2,28.87,36.88,MODERATE
STU103080,0.0,8.74,59.9,11.25,28.45,3.23,19.02,LOW
STU103081,30.98,36.57,76.65,39.5,71.8,38.04,47.58,MODERATE
STU103082,37.16,40.18,59.89,60.25,74.1,30.17,48.92,MODERATE
STU103083,21.65,31.0,46.34,30.0,62.4,30.95,35.18,MODERATE
STU103084,28.83,30.11,45.44,45.25,66.8,31.38,38.99,MODERATE
STU103085,15.53,34.72,62.28,29.5,70.28,30.9,38.78,MODERATE
STU103086,12.87,17.2,52.08,32.0,60.9,7.7,28.95,LOW
STU103087,13.21,31.62,60.88,45.75,69.62,37.61,40.31,MODERATE
STU103088,19.68,25.9,46.0,48.25,62.85,26.45,35.78,MODERATE
STU103089,18.05,28.94,27.92,37.0,69.08,12.42,30.13,MODERATE
STU103090,6.18,18.02,42.71,25.0,55.12,21.37,25.68,LOW
STU103091,56.61,50.14,42.78,58.25,71.1,38.93,52.15,MODERATE
STU103092,8.36,18.35,66.95,26.25,49.02,17.98,30.29,MODERATE
STU103093,37.53,46.5,54.19,38.0,73.18,46.81,47.67,MODERATE
STU103094,38.11,33.37,56.46,43.0,72.0,25.22,43.43,MODERATE
STU103095,21.65,19.08,38.71,30.75,41.05,11.84,26.74,LOW
STU103096,21.65,32.66,28.9,11.25,42.9,34.83,27.74,LOW
STU103097,18.04,19.41,51.64,31.5,61.08,18.94,31.52,MODERATE
STU103098,17.6,26.67,60.69,41.75,51.28,24.75,36.19,MODERATE
STU103099,21.13,27.61,65.85,37.0,40.7,35.16,37.43,MODERATE
STU103100,6.93,11.35,62.26,12.0,54.08,2.78,24.16,LOW
STU103101,0.83,24.76,49.11,26.0,39.63,23.72,26.41,LOW
STU103102,21.35,35.38,62.59,32.25,79.72,35.61,42.0,MODERATE
STU103103,29.26,27.48,36.76,15.75,51.75,25.48,30.16,MODERATE
STU103104,33.22,43.28,41.95,34.5,74.82,37.77,42.29,MODERATE
STU103105,0.0,5.4,52.86,11.25,51.22,13.1,20.04,LOW
STU103106,61.24,38.8,57.49,56.75,65.2,45.46,53.02,MODERATE
STU103107,10.98,38.17,47.59,32.25,58.95,38.37,35.83,MODERATE
