student_id,age,gender,attendance_rate,study_hours_per_week,assignment_score,quiz_score,midterm_score,continuous_assessment,previous_gpa,final_exam_score,assessment_average,performance_trend,attendance_risk,study_efficiency,academic_performance_index,previous_performance_category,assessment_performance_category
STU102333,28,Female,100.0,28.62,100.0,81.3,87.26,99.1,3.72,89.35,91.92,2.53,0.0,3.21,94.56,High,High
STU102334,25,Male,93.54,19.66,78.0,87.19,80.93,93.66,2.81,74.77,84.94,4.7,6.46,4.32,84.58,Medium,High
STU102335,25,Female,79.58,3.98,72.72,80.06,55.93,61.23,1.86,51.15,67.48,-17.81,20.42,16.95,66.91,Low,Medium
STU102336,23,Female,71.63,15.31,78.16,62.54,55.32,61.16,2.04,50.1,64.29,-12.11,28.37,4.2,63.83,Medium,Medium
STU102337,28,Male,85.63,23.82,76.57,83.65,66.98,65.69,2.83,67.85,73.22,-13.77,14.37,3.07,76.45,Medium,High
STU102338,18,Male,83.21,5.57,71.97,70.58,54.59,77.63,2.78,61.82,68.69,-5.17,16.79,12.33,73.21,Medium,Medium
STU102339,19,Female,99.49,27.18,84.93,76.63,79.1,81.16,3.33,87.07,80.46,-0.65,0.51,2.96,86.73,High,High
STU102340,23,Female,54.64,17.84,53.42,82.22,40.68,49.44,2.46,47.47,56.44,-22.76,45.36,3.16,56.91,Medium,Medium
STU102341,23,Male,78.35,18.15,89.09,79.09,86.72,92.2,4.0,97.88,86.78,5.37,21.65,4.78,86.9,High,High
STU102342,25,Female,80.31,20.31,83.5,89.05,65.86,65.8,3.0,65.49,76.05,-20.45,19.69,3.74,77.12,Medium,High
STU102343,24,Male,78.21,9.53,70.76,61.84,54.98,69.53,3.38,53.42,64.28,-4.05,21.79,6.75,72.5,High,Medium
STU102344,25,Male,100.0,30.66,100.0,88.9,80.62,90.6,2.69,88.02,90.03,-8.84,0.0,2.94,88.46,Medium,High
STU102345,21,Female,75.77,8.23,72.39,77.81,62.36,59.02,1.84,59.27,67.9,-14.41,24.23,8.25,65.88,Low,Medium
STU102346,22,Male,75.61,13.96,68.72,73.34,60.56,82.05,2.67,70.97,71.17,0.28,24.39,5.1,71.62,Medium,High
STU102347,27,Male,66.73,9.45,58.79,53.16,39.68,41.7,2.05,47.53,48.33,-15.28,33.27,5.11,54.43,Medium,Low
STU102348,20,Female,100.0,33.88,100.0,86.12,86.65,90.9,3.36,86.81,90.92,-4.28,0.0,2.68,92.26,High,High
STU102349,24,Male,60.1,4.81,39.62,57.78,66.56,55.9,1.5,51.99,54.96,12.53,39.9,11.43,53.01,Low,Medium
STU102350,25,Male,50.29,4.0,55.02,70.31,33.32,55.66,2.55,55.06,53.58,-18.18,49.71,13.4,54.63,Medium,Medium
STU102351,27,Male,80.9,9.77,53.85,64.59,67.07,75.67,1.99,54.97,65.3,12.15,19.1,6.68,66.87,Low,Medium
STU102352,27,Female,84.44,26.22,100.0,84.14,87.42,78.69,2.8,79.11,87.56,-9.01,15.56,3.34,83.11,Medium,High
STU102353,24,Female,86.52,14.07,88.59,73.44,100.0,79.78,3.57,93.07,85.45,8.88,13.48,6.07,86.53,High,High
STU102354,22,Male,87.14,15.65,68.88,57.82,72.3,73.31,2.86,69.48,68.08,9.46,12.86,4.35,74.48,Medium,Medium
STU102355,22,Male,87.24,16.42,82.01,82.36,80.59,77.79,3.39,75.54,80.69,-3.0,12.76,4.91,83.47,High,High
STU102356,23,Female,77.25,8.29,63.33,70.31,66.66,55.59,2.51,68.04,63.97,-5.69,22.75,7.72,67.71,Medium,Medium
STU102357,20,Male,84.03,7.81,94.1,77.51,72.45,88.81,2.23,80.14,83.22,-5.18,15.97,10.66,77.97,Medium,High
STU102358,26,Male,98.35,22.34,68.25,67.54,95.01,80.84,3.36,86.07,77.91,20.03,1.65,3.49,85.26,High,High
STU102359,20,Female,75.96,18.91,72.52,63.41,59.52,61.69,1.85,47.83,64.28,-7.36,24.04,3.4,64.18,Low,Medium
STU102360,26,Male,70.51,0.48,63.36,70.43,88.63,42.8,2.2,65.85,66.31,-1.18,29.49,66.31,65.31,Medium,Medium
STU102361,27,Female,84.24,20.54,67.62,59.52,82.21,76.39,2.96,78.63,71.44,15.73,15.76,3.48,75.79,Medium,High
STU102362,30,Female,79.72,16.2,77.18,97.6,74.82,80.01,3.25,67.16,82.4,-9.98,20.28,5.09,81.37,High,High
STU102363,19,Female,66.93,10.35,72.23,75.3,66.42,83.18,2.52,78.21,74.28,1.04,33.07,7.18,69.82,Medium,High
STU102364,27,Male,98.03,22.74,72.23,80.66,80.06,78.03,3.26,84.29,77.74,2.6,1.97,3.42,84.58,High,High
STU102365,19,Male,83.94,15.04,70.38,69.69,65.11,71.43,2.08,59.37,69.15,-1.76,16.06,4.6,70.16,Medium,Medium
STU102366,22,Male,82.23,23.26,81.7,63.72,75.97,81.48,2.9,79.84,75.72,6.01,17.77,3.26,77.03,Medium,High
STU102367,20,Female,78.35,18.67,71.53,89.12,75.45,87.33,2.92,81.63,80.86,1.06,21.65,4.33,78.54,Medium,High
STU102368,20,Female,74.13,16.37,86.95,75.58,85.89,77.21,2.36,71.63,81.41,0.28,25.87,4.97,74.74,Medium,High
STU102369,20,Female,77.85,26.64,88.64,89.25,77.8,84.17,3.49,70.17,84.96,-7.96,22.15,3.19,83.28,High,High
STU102370,18,Male,80.45,29.6,85.63,85.02,72.23,85.8,3.07,73.21,82.17,-6.31,19.55,2.78,80.57,High,High
STU102371,28,Female,59.17,11.71,72.23,70.89,54.2,78.74,2.38,52.11,69.02,-5.09,40.83,5.89,64.16,Medium,Medium
STU102372,18,Female,85.81,23.84,77.22,69.91,69.72,60.93,2.48,70.36,69.44,-8.24,14.19,2.91,72.86,Medium,Medium
STU102373,23,Female,100.0,18.09,91.41,81.74,75.18,84.56,3.07,75.43,83.22,-6.7,0.0,4.6,86.96,High,High
STU102374,27,Female,82.36,15.49,100.0,84.91,85.08,87.61,3.08,85.49,89.4,-6.11,17.64,5.77,84.81,High,High
STU102375,30,Male,82.16,28.16,69.28,79.41,70.43,84.96,2.57,75.84,76.02,3.35,17.84,2.7,75.51,Medium,High
STU102376,29,Male,51.98,6.02,55.46,40.22,63.46,53.12,1.4,56.63,53.07,10.45,48.02,8.82,49.13,Low,Medium
STU102377,19,Female,48.44,1.17,34.83,56.63,51.97,41.16,1.44,47.91,46.15,0.83,51.56,39.44,44.81,Low,Low
STU102378,30,Male,93.04,25.39,88.85,86.64,90.78,96.52,3.43,96.76,90.7,5.91,6.96,3.57,90.41,High,High
STU102379,26,Male,75.11,13.17,78.35,71.45,61.75,77.53,3.47,61.06,72.27,-5.26,24.89,5.49,76.02,High,High
STU102380,20,Male,85.04,12.68,89.32,76.96,82.12,69.19,2.72,82.92,79.4,-7.48,14.96,6.26,78.81,Medium,High
STU102381,23,Male,100.0,15.96,76.92,73.62,72.29,76.97,2.42,87.0,74.95,-0.64,0.0,4.7,79.57,Medium,High
STU102382,29,Female,100.0,28.22,100.0,77.01,88.26,90.76,4.0,99.62,89.01,1.01,0.0,3.15,94.5,High,High
STU102383,23,Male,94.08,25.31,72.23,86.5,90.48,84.16,3.58,75.45,83.34,7.95,5.92,3.29,87.79,High,High
STU102384,20,Male,78.35,17.77,83.17,88.08,71.12,91.17,2.28,66.47,83.38,-4.48,21.65,4.69,76.6,Medium,High
STU102385,29,Female,63.25,19.82,55.2,58.05,69.71,65.97,1.7,66.78,62.23,11.22,36.75,3.14,58.59,Low,Medium
STU102386,24,Female,64.65,10.32,69.52,59.73,66.63,66.52,1.95,68.69,65.6,1.95,35.35,6.36,61.94,Low,Medium
STU102387,30,Male,57.03,1.2,58.01,42.0,68.57,44.85,1.6,46.58,53.36,6.7,42.97,44.47,51.79,Low,Medium
STU102388,30,Male,93.62,25.52,73.31,76.91,78.96,82.92,1.98,65.13,78.03,5.83,6.38,3.06,77.0,Low,High
STU102389,29,Male,81.95,17.28,88.04,84.35,80.06,74.06,3.01,87.49,81.63,-9.13,18.05,4.72,80.45,High,High
STU102390,23,Male,95.21,19.54,80.98,91.96,100.0,84.8,3.37,86.12,89.44,5.93,4.79,4.58,90.13,High,High
STU102391,20,Male,94.99,20.48,79.48,85.69,57.75,63.44,1.85,50.39,71.59,-21.99,5.01,3.5,73.54,Low,High
STU102392,26,Male,73.35,6.7,73.96,89.03,68.23,67.03,2.68,53.27,74.56,-13.87,26.65,11.13,72.68,Medium,High
STU102393,20,Female,69.54,10.43,57.14,81.64,59.68,60.49,2.52,66.47,64.74,-9.3,30.46,6.21,65.83,Medium,Medium
STU102394,24,Female,73.66,20.3,54.79,52.93,70.44,62.52,1.79,61.86,60.17,12.62,26.34,2.96,61.13,Low,Medium
STU102395,26,Female,81.83,23.16,78.36,66.69,97.29,65.82,2.01,83.22,77.04,9.03,18.17,3.33,73.12,Medium,High
STU102396,30,Male,69.7,13.62,56.0,66.92,49.39,65.75,1.71,54.04,59.52,-3.89,30.3,4.37,59.22,Low,Medium
STU102397,21,Male,100.0,15.04,100.0,72.53,100.0,82.97,2.44,86.63,88.88,5.22,0.0,5.91,86.64,Medium,High
STU102398,21,Female,65.48,9.65,42.75,59.15,66.05,65.55,1.73,67.69,58.38,14.85,34.52,6.05,57.48,Low,Medium
STU102399,27,Female,73.41,11.66,78.33,59.73,78.67,82.91,2.48,83.11,74.91,11.76,26.59,6.42,71.88,Medium,High
STU102400,18,Female,45.82,11.6,52.25,48.28,46.75,41.44,1.11,35.81,47.18,-6.17,54.18,4.07,42.89,Low,Low
STU102401,25,Male,69.11,12.04,73.96,73.79,78.55,79.38,2.99,75.42,76.42,5.09,30.89,6.35,73.89,Medium,High
STU102402,27,Male,82.74,19.83,72.23,52.98,58.59,68.7,2.53,64.88,63.12,1.04,17.26,3.18,69.03,Medium,Medium
STU102403,25,Female,74.58,10.31,55.3,90.71,81.35,75.71,2.41,70.17,75.77,5.53,25.42,7.35,72.31,Medium,High
STU102404,22,Female,70.45,7.16,72.55,54.68,45.79,51.68,1.89,49.09,56.18,-14.88,29.55,7.85,58.68,Low,Medium
STU102405,28,Male,71.4,17.71,68.11,84.94,58.29,81.85,2.76,73.1,73.3,-6.46,28.6,4.14,71.87,Medium,High
STU102406,22,Female,72.29,21.9,59.09,48.27,58.68,62.23,2.68,46.91,57.07,6.77,27.71,2.61,63.62,Medium,Medium
STU102407,27,Female,0.0,21.32,90.2,62.59,60.75,67.73,2.29,62.6,70.32,-12.16,100.0,3.3,46.61,Medium,High
STU102408,24,Female,100.0,28.44,88.93,100.0,96.33,89.1,3.75,94.35,93.59,-1.75,0.0,3.29,95.54,High,High
STU102409,18,Male,86.88,16.35,66.08,70.01,67.04,62.79,2.86,66.47,66.48,-3.13,13.12,4.07,73.6,Medium,Medium
STU102410,24,Female,78.47,22.1,84.77,84.38,65.83,83.54,2.91,73.85,79.63,-9.89,21.53,3.6,77.91,Medium,High
STU102411,18,Female,76.46,19.04,69.77,71.67,51.27,61.03,2.85,53.84,63.44,-14.57,23.54,3.33,68.91,Medium,Medium
STU102412,30,Male,62.61,1.49,72.23,53.04,70.05,67.2,1.85,55.7,65.63,5.99,37.39,44.05,60.85,Low,Medium
STU102413,25,Female,56.82,14.23,72.24,82.09,72.73,68.16,2.34,72.48,73.81,-6.72,43.18,5.19,65.65,Medium,High
STU102414,22,Female,100.0,24.76,100.0,100.0,85.47,94.58,3.48,77.3,95.01,-9.97,0.0,3.84,94.9,High,High
STU102415,24,Female,71.55,12.18,87.47,52.61,70.81,77.02,2.61,64.26,71.98,3.88,28.45,5.91,70.5,Medium,High
STU102416,26,Male,90.65,10.88,68.88,75.46,69.23,61.19,2.59,61.51,68.69,-6.96,9.35,6.31,74.49,Medium,Medium
STU102417,21,Female,62.77,1.0,59.16,67.33,41.86,41.64,1.84,51.1,52.5,-21.49,37.23,52.5,54.28,Low,Medium
STU102418,21,Male,38.48,0.0,29.28,38.29,21.79,36.36,1.7,28.44,31.43,-4.71,61.52,31.43,35.76,Low,Low
STU102419,23,Male,64.15,7.49,67.22,61.84,68.39,61.91,2.74,53.93,64.84,0.62,35.85,8.66,65.37,Medium,Medium
STU102420,21,Male,100.0,32.22,97.5,100.0,100.0,93.15,2.52,97.65,97.66,-2.17,0.0,3.03,91.43,Medium,High
STU102421,27,Male,86.55,14.5,89.42,60.64,82.28,70.21,2.32,65.37,75.64,1.22,13.45,5.22,75.38,Medium,High
STU102422,19,Male,100.0,20.52,88.52,86.75,80.73,100.0,3.97,90.09,89.0,2.73,0.0,4.34,94.35,High,High
STU102423,28,Male,69.86,14.89,67.66,62.66,68.87,78.71,2.49,58.43,69.47,8.63,30.14,4.67,68.14,Medium,Medium
STU102424,22,Female,50.04,2.29,49.63,51.4,44.08,22.88,1.47,27.08,42.0,-17.04,49.96,18.34,43.36,Low,Low
STU102425,25,Male,57.95,16.86,58.59,52.28,29.47,53.64,1.98,41.3,48.5,-13.88,42.05,2.88,51.54,Low,Low
STU102426,20,Female,94.52,22.06,79.61,94.5,78.92,78.77,2.42,72.06,82.95,-8.21,5.48,3.76,81.93,Medium,High
STU102427,23,Male,70.34,11.3,76.26,66.92,72.62,76.15,2.47,77.92,72.99,2.8,29.66,6.46,69.95,Medium,High
STU102428,27,Female,71.3,11.58,76.61,58.8,91.18,63.47,2.73,58.14,72.52,9.62,28.7,6.26,71.3,Medium,High
STU102429,21,Female,68.25,15.55,64.53,76.64,81.41,77.51,2.08,75.19,75.02,8.88,31.75,4.82,68.39,Medium,High
STU102430,19,Female,100.0,16.21,86.64,86.89,78.79,72.47,3.12,74.18,81.2,-11.14,0.0,5.01,86.2,High,High
STU102431,24,Female,78.12,10.37,72.46,68.53,66.36,65.66,2.52,69.63,68.25,-4.49,21.88,6.58,70.16,Medium,Medium
STU102432,20,Female,74.87,8.29,71.99,71.06,72.78,73.23,2.28,64.99,72.26,1.48,25.13,8.72,69.99,Medium,High
STU102433,22,Male,86.92,9.64,73.24,68.89,65.69,75.16,3.17,74.58,70.74,-0.64,13.08,7.34,77.3,High,High
STU102434,23,Male,77.7,19.09,66.8,70.84,50.01,62.2,2.52,52.42,62.46,-12.71,22.3,3.27,67.14,Medium,Medium
STU102435,25,Male,69.61,10.55,51.96,54.69,50.56,66.37,2.18,56.09,55.9,5.14,30.39,5.3,59.73,Medium,Medium
STU102436,26,Male,78.44,9.29,72.23,83.24,58.24,59.1,2.48,66.67,68.2,-19.06,21.56,7.34,70.03,Medium,Medium
STU102437,26,Male,100.0,23.8,98.0,93.64,100.0,93.16,2.81,91.92,96.2,0.76,0.0,4.04,92.15,Medium,High
STU102438,28,Male,92.72,30.25,91.18,80.2,83.92,77.39,2.88,77.19,83.17,-5.03,7.28,2.75,83.8,Medium,High
STU102439,18,Female,77.82,17.84,85.3,77.36,74.64,93.78,2.48,69.01,82.77,2.88,22.18,4.64,77.13,Medium,High
STU102440,22,Female,80.11,12.65,55.0,49.39,51.19,60.9,2.15,59.0,54.12,3.85,19.89,4.28,61.84,Medium,Medium
STU102441,18,Female,57.17,10.73,66.1,61.15,54.82,57.85,1.9,60.81,59.98,-7.29,42.83,5.59,56.64,Low,Medium
STU102442,18,Female,81.26,28.8,99.9,74.65,78.29,92.01,3.1,85.33,86.21,-2.12,18.74,2.99,82.98,High,High
STU102443,20,Male,84.82,16.17,86.49,78.77,68.43,82.05,3.36,84.4,78.94,-7.39,15.18,4.88,81.72,High,High
STU102444,24,Male,75.93,8.83,73.22,96.86,60.22,79.47,2.04,60.23,77.44,-15.19,24.07,8.77,71.7,Medium,High
STU102445,29,Female,67.14,7.26,60.25,47.62,80.92,56.18,2.52,58.97,61.24,14.61,32.86,8.44,63.36,Medium,Medium
STU102446,28,Female,66.65,9.87,57.01,52.68,48.94,61.11,1.91,61.84,54.94,0.18,33.35,5.57,57.02,Low,Medium
STU102447,26,Male,96.2,30.16,76.7,66.34,89.9,78.35,3.03,73.18,77.82,12.6,3.8,2.58,82.92,High,High
STU102448,28,Male,76.56,25.95,82.23,77.84,64.75,90.74,2.63,63.83,78.89,-2.29,23.44,3.04,75.56,Medium,High
STU102449,20,Male,65.73,7.63,76.54,60.83,71.4,68.28,2.58,66.69,69.26,1.16,34.27,9.08,67.25,Medium,Medium
STU102450,28,Male,65.3,16.36,72.19,48.44,66.5,67.96,2.66,66.47,63.77,6.91,34.7,3.9,64.78,Medium,Medium
STU102451,29,Male,91.52,20.1,81.58,88.0,92.06,89.99,3.27,90.64,87.91,6.24,8.48,4.37,87.76,High,High
STU102452,19,Male,83.95,6.99,66.31,77.56,44.26,73.77,1.65,44.4,65.47,-12.92,16.05,9.37,66.17,Low,Medium
STU102453,24,Female,92.84,24.02,90.08,93.23,90.0,70.56,3.45,91.97,85.97,-11.38,7.16,3.58,88.09,High,High
STU102454,28,Female,89.19,11.44,67.09,77.28,58.59,63.0,2.56,63.88,66.49,-11.39,10.81,5.81,72.8,Medium,Medium
STU102455,24,Female,72.19,9.17,55.87,81.82,51.48,66.8,2.21,66.68,63.99,-9.7,27.81,6.98,64.7,Medium,Medium
STU102456,28,Female,91.12,21.38,80.17,76.84,50.01,61.15,2.99,42.77,67.04,-22.92,8.88,3.14,75.81,Medium,Medium
STU102457,30,Female,70.87,10.1,78.6,42.02,52.42,64.81,2.27,59.36,59.46,-1.7,29.13,5.89,62.34,Medium,Medium
STU102458,24,Male,78.35,13.82,77.9,84.29,70.12,84.15,3.8,76.86,79.12,-3.96,21.65,5.73,82.06,High,High
STU102459,18,Female,88.45,23.24,75.25,54.99,86.75,94.36,3.22,83.67,77.84,25.44,11.55,3.35,81.56,High,High
STU102460,22,Male,100.0,16.76,91.36,75.05,75.29,88.71,3.14,76.36,82.6,-1.2,0.0,4.93,87.0,High,High
STU102461,20,Female,81.48,11.5,67.84,57.03,68.65,79.33,2.91,72.06,68.21,11.56,18.52,5.93,73.1,Medium,Medium
STU102462,24,Male,74.2,15.77,54.92,67.67,74.5,66.89,2.81,54.77,66.0,9.4,25.8,4.19,69.31,Medium,Medium
STU102463,25,Female,82.98,11.32,67.91,60.93,68.61,55.37,2.81,50.97,63.2,-2.43,17.02,5.58,70.54,Medium,Medium
STU102464,24,Female,65.85,10.18,79.71,68.09,55.5,60.01,2.26,47.67,65.83,-16.15,34.15,6.47,63.97,Medium,Medium
STU102465,20,Male,98.29,24.01,82.36,94.35,88.04,71.4,3.0,68.36,84.04,-8.63,1.71,3.5,86.51,Medium,High
STU102466,21,Male,85.0,19.58,76.35,71.61,72.35,86.26,2.61,77.09,76.64,5.33,15.0,3.91,76.87,Medium,High
STU102467,26,Male,88.67,12.3,66.93,71.59,49.43,71.09,1.6,45.37,64.76,-9.0,11.33,5.27,66.98,Low,Medium
STU102468,18,Female,70.23,0.0,52.03,33.27,60.27,63.29,2.1,54.48,52.22,19.13,29.77,52.22,57.68,Medium,Medium
STU102469,20,Female,100.0,23.38,75.97,72.44,93.38,91.36,3.13,88.71,83.29,18.17,0.0,3.56,87.3,High,High
STU102470,29,Male,63.33,23.89,70.97,84.14,67.66,68.14,2.45,64.27,72.73,-9.66,36.67,3.04,67.61,Medium,High
STU102471,19,Female,82.09,17.37,58.16,59.84,65.22,58.07,2.8,68.66,60.32,2.64,17.91,3.47,68.79,Medium,Medium
STU102472,23,Male,95.18,22.42,84.25,82.13,82.7,82.93,3.24,79.0,83.0,-0.38,4.82,3.7,86.25,High,High
STU102473,20,Male,60.38,14.29,69.04,55.98,77.12,69.78,2.91,68.45,67.98,10.94,39.62,4.76,66.65,Medium,Medium
STU102474,19,Male,74.93,16.22,72.18,49.14,67.15,52.4,2.14,56.89,60.22,-0.88,25.07,3.71,63.29,Medium,Medium
STU102475,23,Female,63.08,9.41,68.15,56.84,63.68,70.21,2.04,67.23,64.72,4.45,36.92,6.88,61.48,Medium,Medium
STU102476,24,Male,67.09,13.39,47.89,55.3,61.72,46.86,1.4,42.81,52.94,2.7,32.91,3.95,53.6,Low,Medium
STU102477,20,Female,93.26,17.71,71.69,69.86,82.61,79.72,2.91,80.37,75.97,10.39,6.74,4.29,80.51,Medium,High
STU102478,19,Male,54.53,8.86,67.09,71.95,62.89,51.5,2.52,68.67,63.36,-12.33,45.47,7.15,60.64,Medium,Medium
STU102479,19,Female,70.91,19.53,71.87,57.52,70.81,72.34,2.01,69.14,68.14,6.88,29.09,3.49,65.39,Medium,Medium
STU102480,26,Female,68.23,0.43,62.13,70.31,64.74,51.02,1.78,51.31,62.05,-8.34,31.77,62.05,60.39,Low,Medium
STU102481,29,Female,55.04,5.6,59.35,57.66,61.01,56.15,2.74,60.0,58.54,0.08,44.96,10.45,59.48,Medium,Medium
STU102482,20,Female,75.27,13.17,64.29,70.05,67.8,71.13,1.57,57.83,68.32,2.3,24.73,5.19,64.59,Low,Medium
STU102483,22,Female,85.97,19.85,72.23,58.57,61.8,72.07,2.98,75.47,66.17,1.53,14.03,3.33,73.78,Medium,Medium
STU102484,22,Male,92.34,22.3,61.58,73.37,56.89,52.05,2.22,61.56,60.97,-13.0,7.66,2.73,69.29,Medium,Medium
STU102485,22,Female,82.55,4.01,75.12,74.45,73.41,77.72,2.66,72.16,75.18,0.78,17.45,18.75,75.66,Medium,High
STU102486,21,Male,99.21,33.42,96.28,88.25,90.03,76.06,4.0,99.35,87.66,-9.22,0.79,2.62,93.59,High,High
STU102487,18,Male,80.25,7.84,60.39,67.2,74.26,67.75,2.59,68.13,67.4,7.21,19.75,8.6,70.73,Medium,Medium
STU102488,24,Male,95.54,20.72,72.68,80.84,78.08,96.03,2.7,69.9,81.91,10.3,4.46,3.95,83.12,Medium,High
STU102489,22,Male,82.91,18.99,77.61,71.12,97.46,79.05,3.35,84.53,81.31,13.89,17.09,4.28,82.28,High,High
STU102490,22,Female,84.07,18.87,57.8,62.32,57.51,67.38,2.57,60.87,61.25,2.38,15.93,3.25,68.7,Medium,Medium
STU102491,21,Female,62.45,15.47,68.01,60.53,68.38,72.9,3.93,74.88,67.46,6.37,37.55,4.36,72.11,High,Medium
STU102492,30,Female,90.05,20.18,78.13,90.69,63.53,61.61,1.91,62.85,73.49,-21.84,9.95,3.64,73.31,Low,High
STU102493,25,Male,86.83,12.07,69.68,67.62,73.42,74.64,2.0,73.31,71.34,5.38,13.17,5.91,71.72,Low,High
STU102494,23,Female,50.61,11.07,58.54,50.88,67.84,84.25,2.55,57.03,65.38,21.34,49.39,5.91,60.62,Medium,Medium
STU102495,20,Female,75.13,13.0,76.73,46.81,65.96,62.16,2.24,62.26,62.92,2.29,24.87,4.84,65.2,Medium,Medium
STU102496,28,Male,62.31,23.49,75.26,62.1,73.22,63.81,2.79,66.72,68.6,-0.17,37.69,2.92,66.94,Medium,Medium
STU102497,29,Female,49.45,7.33,58.05,50.49,48.07,55.06,1.13,46.88,52.92,-2.7,50.55,7.22,46.94,Low,Medium
STU102498,18,Female,100.0,25.0,80.33,84.34,84.0,93.1,3.27,88.48,85.44,6.21,0.0,3.42,89.07,High,High
STU102499,30,Male,100.0,31.16,91.59,97.82,100.0,71.13,3.74,95.27,90.14,-9.14,0.0,2.89,93.77,High,High
STU102500,27,Female,90.1,21.45,73.87,79.29,79.41,70.18,2.39,65.26,75.69,-1.79,9.9,3.53,76.82,Medium,High
STU102501,19,Female,78.35,20.87,80.9,76.01,72.87,82.85,2.91,74.95,78.16,-0.6,21.65,3.75,77.13,Medium,High
STU102502,27,Male,90.67,16.36,100.0,80.8,73.34,68.79,2.56,0.0,80.73,-19.34,9.33,4.93,80.37,Medium,High
STU102503,19,Male,70.89,10.19,59.34,70.92,54.7,53.19,1.98,45.16,59.54,-11.18,29.11,5.84,60.94,Low,Medium
STU102504,18,Female,86.44,20.43,91.23,87.77,81.46,59.67,3.47,86.2,80.03,-18.94,13.56,3.92,83.3,High,High
STU102505,19,Female,72.68,10.68,88.19,69.02,46.72,65.63,1.85,34.05,67.39,-22.43,27.32,6.31,64.75,Low,Medium
STU102506,23,Female,100.0,24.82,100.0,92.21,98.23,92.42,3.19,93.55,95.72,-0.78,0.0,3.86,93.81,High,High
STU102507,26,Female,75.2,16.77,71.53,74.68,57.72,78.57,2.82,58.42,70.62,-4.96,24.8,4.21,71.97,Medium,High
STU102508,23,Female,98.18,23.01,91.8,83.9,60.13,72.78,2.49,61.38,77.15,-21.39,1.82,3.35,80.48,Medium,High
STU102509,19,Female,70.52,9.15,71.17,70.99,69.61,78.37,2.52,73.92,72.54,2.91,29.48,7.93,70.03,Medium,High
STU102510,20,Female,97.72,22.65,93.99,100.0,82.65,91.45,3.62,90.55,92.02,-9.94,2.28,4.06,93.43,High,High
STU102511,29,Female,63.36,21.38,74.37,67.55,74.68,71.56,2.1,76.71,72.04,2.16,36.64,3.37,65.53,Medium,High
STU102512,30,Male,74.85,26.29,91.75,67.77,89.99,89.75,3.6,74.59,84.82,10.11,25.15,3.23,82.86,High,High
STU102513,24,Female,97.39,19.19,83.14,77.75,78.3,78.01,3.14,72.6,79.3,-2.29,2.61,4.13,84.57,High,High
STU102514,19,Female,75.65,20.46,74.6,63.36,86.83,77.58,2.8,72.62,75.59,13.23,24.35,3.69,74.49,Medium,High
STU102515,28,Female,78.84,14.04,69.94,78.85,80.39,68.1,1.86,64.01,74.32,-0.15,21.16,5.29,70.11,Low,High
STU102516,26,Female,82.46,10.14,54.44,46.95,51.04,75.09,2.42,61.79,56.88,12.37,17.54,5.61,65.28,Medium,Medium
STU102517,24,Female,45.83,0.0,46.95,40.59,46.45,68.74,0.83,49.59,50.68,13.82,54.17,50.68,43.24,Low,Medium
STU102518,19,Male,95.01,26.27,85.27,82.8,74.45,69.02,2.96,61.26,77.88,-12.3,4.99,2.96,82.24,Medium,High
STU102519,30,Male,60.77,5.0,74.2,52.77,70.95,66.34,2.26,54.89,66.06,5.16,39.23,13.21,62.56,Medium,Medium
STU102520,23,Male,100.0,16.92,72.23,82.36,78.15,80.4,3.75,79.66,78.28,1.98,0.0,4.63,87.89,High,High
STU102521,18,Male,81.25,10.99,76.43,81.52,59.59,78.51,2.59,61.51,74.01,-9.92,18.75,6.73,74.33,Medium,High
STU102522,20,Male,84.26,26.47,82.45,77.91,86.94,68.76,2.6,88.49,79.02,-2.33,15.74,2.99,77.79,Medium,High
STU102523,23,Male,79.47,19.31,79.59,81.81,72.9,69.61,3.42,66.47,75.98,-9.45,20.53,3.93,78.93,High,High
STU102524,18,Male,61.94,0.0,58.11,47.51,48.78,61.44,1.52,45.08,53.96,2.3,38.06,53.96,53.16,Low,Medium
STU102525,22,Male,80.69,17.58,89.76,66.17,88.52,90.41,3.07,91.39,83.72,11.5,19.31,4.76,81.42,High,High
STU102526,24,Female,65.9,9.78,77.47,66.39,46.36,52.91,2.85,43.96,60.78,-22.3,34.1,6.21,64.41,Medium,Medium
STU102527,30,Female,88.52,14.82,84.62,80.84,82.1,100.0,3.69,90.45,86.89,8.32,11.48,5.86,88.45,High,High
STU102528,19,Male,85.46,24.85,76.46,76.61,81.86,70.48,2.48,71.58,76.35,-0.36,14.54,3.07,76.21,Medium,High
STU102529,25,Male,86.45,17.87,89.02,60.75,76.64,84.72,2.31,72.39,77.78,5.8,13.55,4.35,76.38,Medium,High
STU102530,29,Male,78.29,19.78,84.75,53.02,66.28,67.38,2.66,70.93,67.86,-2.06,21.71,3.43,70.72,Medium,Medium
STU102531,28,Male,68.93,2.28,76.94,71.84,59.42,63.91,1.95,53.0,68.03,-12.73,31.07,29.84,64.44,Low,Medium
STU102532,30,Male,77.98,14.92,72.07,72.8,46.79,68.09,2.22,45.06,64.94,-15.0,22.02,4.35,66.96,Medium,Medium
STU102533,20,Male,54.22,0.0,53.81,51.85,61.83,61.17,1.21,56.32,57.17,8.67,45.78,57.17,50.9,Low,Medium
